WeekStartDate,Forecast_Or_Actual_Value,Forecast_Or_Actual_Value_Legend
11-Nov-2024,4319.8500000000004,2023-24-RSA Contracted Energy Demand
05-Aug-2024,4321.5339999999997,2023-24-RSA Contracted Energy Demand
02-Dec-2024,4332.9539999999997,2023-24-RSA Contracted Energy Demand
02-Sep-2024,4334.835,2023-24-RSA Contracted Energy Demand
08-Apr-2024,4342.1599999999999,2023-24-RSA Contracted Energy Demand
28-Oct-2024,4358.183,2023-24-RSA Contracted Energy Demand
10-Jun-2024,4412.8019999999997,2023-24-RSA Contracted Energy Demand
03-Jun-2024,4417.4380000000001,2023-24-RSA Contracted Energy Demand
01-Jul-2024,4418.1540000000005,2023-24-RSA Contracted Energy Demand
25-Nov-2024,4420.1379999999999,2023-24-RSA Contracted Energy Demand
06-May-2024,4423.9319999999998,2023-24-RSA Contracted Energy Demand
09-Sep-2024,4435.1170000000002,2023-24-RSA Contracted Energy Demand
15-Apr-2024,4438.3180000000002,2023-24-RSA Contracted Energy Demand
18-Nov-2024,4439.6660000000002,2023-24-RSA Contracted Energy Demand
24-Jun-2024,4443.3699999999999,2023-24-RSA Contracted Energy Demand
22-Jul-2024,4448.9430000000002,2023-24-RSA Contracted Energy Demand
17-Jun-2024,4463.5990000000002,2023-24-RSA Contracted Energy Demand
29-Jul-2024,4479.085,2023-24-RSA Contracted Energy Demand
20-May-2024,4497.3519999999999,2023-24-RSA Contracted Energy Demand
13-May-2024,4501.4210000000003,2023-24-RSA Contracted Energy Demand
27-May-2024,4515.7839999999997,2023-24-RSA Contracted Energy Demand
15-Jul-2024,4544.9260000000004,2023-24-RSA Contracted Energy Demand
08-Jul-2024,4594.5659999999998,2023-24-RSA Contracted Energy Demand
29-Jul-2024,,2024-25-Residual Energy Demand
05-Aug-2024,,2024-25-Residual Energy Demand
12-Aug-2024,,2024-25-Residual Energy Demand
19-Aug-2024,,2024-25-Residual Energy Demand
09-Sep-2024,,2024-25-Residual Energy Demand
02-Sep-2024,,2024-25-Residual Energy Demand
26-Aug-2024,,2024-25-Residual Energy Demand
14-Oct-2024,,2024-25-Residual Energy Demand
23-Sep-2024,,2024-25-Residual Energy Demand
30-Sep-2024,,2024-25-Residual Energy Demand
16-Sep-2024,,2024-25-Residual Energy Demand
18-Nov-2024,,2024-25-Residual Energy Demand
25-Nov-2024,,2024-25-Residual Energy Demand
04-Nov-2024,,2024-25-Residual Energy Demand
02-Dec-2024,,2024-25-Residual Energy Demand
21-Oct-2024,,2024-25-Residual Energy Demand
11-Nov-2024,,2024-25-Residual Energy Demand
28-Oct-2024,,2024-25-Residual Energy Demand
07-Oct-2024,,2024-25-Residual Energy Demand
20-Jan-2025,,2024-25-Residual Energy Demand
13-Jan-2025,,2024-25-Residual Energy Demand
06-Jan-2025,,2024-25-Residual Energy Demand
09-Dec-2024,,2024-25-Residual Energy Demand
30-Dec-2024,,2024-25-Residual Energy Demand
