DateTimeKey,Residual Forecast,RSA Contracted Forecast,Residual Demand,RSA Contracted Demand
2024-07-27 00:00:00,,,21284.255000000001,22337.432000000001
2024-07-27 01:00:00,,,20467.228999999999,21659.355
2024-07-27 02:00:00,,,20073.299999999999,21324.087
2024-07-27 03:00:00,,,20054.496999999999,21511.001
2024-07-27 04:00:00,,,20358.811000000002,22003.272000000001
2024-07-27 05:00:00,,,21008.421999999999,22756.201000000001
2024-07-27 06:00:00,,,22245.109,24196.181
2024-07-27 07:00:00,,,24407.683000000001,26578.082999999999
2024-07-27 08:00:00,,,24866.514999999999,27806.993999999999
2024-07-27 09:00:00,,,24292.687999999998,27756.562000000002
2024-07-27 10:00:00,,,23167.535,26941.159
2024-07-27 11:00:00,,,22223.553,26250.534
2024-07-27 12:00:00,,,21539.611000000001,25653.053
2024-07-27 13:00:00,,,21162.951000000001,25226.935000000001
2024-07-27 14:00:00,,,20966.338,24995.645
2024-07-27 15:00:00,,,21400.591,25363.726999999999
2024-07-27 16:00:00,,,22908.955999999998,26359.75
2024-07-27 17:00:00,,,24874.255000000001,27465.164000000001
2024-07-27 18:00:00,,,26765.202000000001,29174.522000000001
2024-07-27 19:00:00,,,25997.150000000001,28849.760999999999
2024-07-27 20:00:00,,,24300.312999999998,27283.922999999999
2024-07-27 21:00:00,,,22893.812999999998,25501.217000000001
2024-07-27 22:00:00,,,22298.939999999999,23672.652999999998
2024-07-27 23:00:00,,,21203.98,22334.758000000002
2024-07-28 00:00:00,,,20269.837,21316.195
2024-07-28 01:00:00,,,19789.977999999999,20842.613000000001
2024-07-28 02:00:00,,,19565.975999999999,20645.537
2024-07-28 03:00:00,,,19274.764999999999,20379.645
2024-07-28 04:00:00,,,19988.995999999999,21090.254000000001
2024-07-28 05:00:00,,,20424.631000000001,21522.936000000002
2024-07-28 06:00:00,,,21474.352999999999,22579.400000000001
2024-07-28 07:00:00,,,23771.544999999998,25197.286
2024-07-28 08:00:00,,,24094.175999999999,26907.648000000001
2024-07-28 09:00:00,,,23520.399000000001,27350.539000000001
2024-07-28 10:00:00,,,23020.785,27209.808000000001
2024-07-28 11:00:00,,,22226.564999999999,26540.438999999998
2024-07-28 12:00:00,,,21559.202000000001,26074.828000000001
2024-07-28 13:00:00,,,21468.349999999999,25528.466
2024-07-28 14:00:00,,,21433.692999999999,25452.298999999999
2024-07-28 15:00:00,,,22095.151999999998,25998.737000000001
2024-07-28 16:00:00,,,23480.141,27320.756000000001
2024-07-28 17:00:00,,,25600.739000000001,28560.756000000001
2024-07-28 18:00:00,,,27809.339,30227.129000000001
2024-07-28 19:00:00,,,27535.460999999999,29756.487000000001
2024-07-28 20:00:00,,,25710.352999999999,27778.511999999999
2024-07-28 21:00:00,,,23370.795999999998,25434.226999999999
2024-07-28 22:00:00,,,21108.074000000001,23136.522000000001
2024-07-28 23:00:00,,,19871.168000000001,21651.028999999999
2024-07-29 00:00:00,,,19620.553,20867.431
2024-07-29 01:00:00,,,19684.350999999999,20369.649000000001
2024-07-29 02:00:00,,,19676.855,20233.858
2024-07-29 03:00:00,,,19973.404999999999,20527.127
2024-07-29 04:00:00,,,21465.254000000001,22786.666000000001
2024-07-29 05:00:00,,,24727.148000000001,26008.27
2024-07-29 06:00:00,,,26909.998,28230.833999999999
2024-07-29 07:00:00,,,27148.021000000001,28626.859
2024-07-29 08:00:00,,,26594.334999999999,28854.637999999999
2024-07-29 09:00:00,,,26123.726999999999,29077.110000000001
2024-07-29 10:00:00,,,25065.374,28449.159
2024-07-29 11:00:00,,,24233.012999999999,27717.411
2024-07-29 12:00:00,,,23672.897000000001,27160.962
2024-07-29 13:00:00,,,23388.188999999998,26818.021000000001
2024-07-29 14:00:00,,,23802.373,27086.946
2024-07-29 15:00:00,,,25016.722000000002,27998.221000000001
2024-07-29 16:00:00,,,26518.744999999999,29096.414000000001
2024-07-29 17:00:00,,,27938.358,29710.718000000001
2024-07-29 18:00:00,,,30025.002,31422.659
2024-07-29 19:00:00,,,30244.308000000001,31559.830000000002
2024-07-29 20:00:00,,,28720.333999999999,30115.919999999998
2024-07-29 21:00:00,,,25803.887999999999,27244.370999999999
2024-07-29 22:00:00,,,23387.315999999999,24665.412
2024-07-29 23:00:00,,,21729.983,22995.699000000001
2024-07-30 00:00:00,,,21138.857,22384.326000000001
2024-07-30 01:00:00,,,20649.804,21779.333999999999
2024-07-30 02:00:00,,,20765.752,21579.755000000001
2024-07-30 03:00:00,,,21050.152999999998,21926.356
2024-07-30 04:00:00,,,22730.763999999999,23934.293000000001
2024-07-30 05:00:00,,,25846.656999999999,27016.527999999998
2024-07-30 06:00:00,,,27903.956999999999,29048.370999999999
2024-07-30 07:00:00,,,27973.240000000002,29268.988000000001
2024-07-30 08:00:00,,,27285.599999999999,29342.955999999998
2024-07-30 09:00:00,,,26274.942999999999,28966.276000000002
2024-07-30 10:00:00,,,25436.887999999999,28487.778999999999
2024-07-30 11:00:00,,,24605.357,27853.811000000002
2024-07-30 12:00:00,,,23889.197,27146.937000000002
2024-07-30 13:00:00,,,23746.105,26985.471000000001
2024-07-30 14:00:00,,,23934.790000000001,27050.698
2024-07-30 15:00:00,,,25108.224999999999,28023.281999999999
2024-07-30 16:00:00,,,26812.724999999999,29367.098000000002
2024-07-30 17:00:00,,,28586.380000000001,30387.873
2024-07-30 18:00:00,,,30575.147000000001,32209.913
2024-07-30 19:00:00,,,29903.482,31742.008000000002
2024-07-30 20:00:00,,,28263.346000000001,30239.635999999999
2024-07-30 21:00:00,,,25829.274000000001,27758.032999999999
